"entidad","cand_pan_df_21","cand_pan_pri_prd_df_21","cand_morena_df_21","cand_pvem_pt_morena_df_21","cand_pri_df_21","cand_mc_df_21","cand_pvem_df_21"
"01",2,1,0,0,0,0,0
"02",0,0,4,4,0,0,0
"03",0,0,0,2,0,0,0
"04",0,0,2,0,0,0,0
"05",0,0,0,2,5,0,0
"06",0,1,1,0,0,0,0
"07",0,1,3,9,0,0,0
"08",2,4,1,2,0,0,0
"09",0,12,7,5,0,0,0
"10",0,2,0,2,0,0,0
"11",12,1,1,1,0,0,0
"12",0,2,3,4,0,0,0
"13",0,1,2,4,0,0,0
"14",0,6,0,7,0,7,0
"15",2,15,15,9,0,0,0
"16",0,8,2,2,0,0,0
"17",0,0,3,2,0,0,0
"18",0,0,0,3,0,0,0
"19",4,0,0,2,6,0,0
"20",0,0,3,7,0,0,0
"21",0,4,0,11,0,0,0
"22",5,0,0,0,0,0,0
"23",0,0,0,4,0,0,0
"24",0,1,0,5,0,0,1
"25",0,0,2,5,0,0,0
"26",0,0,3,4,0,0,0
"27",0,0,6,0,0,0,0
"28",3,0,0,6,0,0,0
"29",0,0,1,2,0,0,0
"30",0,2,5,13,0,0,0
"31",3,0,0,2,0,0,0
"32",0,2,0,2,0,0,0
